time,G(i),H_sun,T2m,WS10m,Int
20180116:2110,0.0,0.0,5.78,2.0,0.0
20180116:2210,0.0,0.0,5.03,1.79,0.0
20180116:2310,0.0,0.0,4.72,1.72,0.0
20180117:0010,0.0,0.0,4.22,1.72,0.0
20180117:0110,0.0,0.0,3.75,1.66,0.0
20180117:0210,0.0,0.0,3.88,1.31,0.0
20180117:0310,0.0,0.0,4.16,1.03,0.0
20180117:0410,0.0,0.0,4.66,0.9,0.0
20180117:0510,0.0,0.0,4.67,0.76,0.0
20180117:0610,0.0,0.0,4.9,0.69,0.0
20180117:0710,0.0,0.0,4.18,0.41,0.0
20180117:0810,168.27,4.99,4.38,0.41,0.0
20180117:0910,493.77,13.96,4.8,0.55,0.0
20180117:1010,717.55,21.31,7.27,0.34,0.0
20180117:1110,872.16,26.44,9.52,0.34,0.0
20180117:1210,919.9,28.75,10.85,1.24,0.0
20180117:1310,918.32,27.92,11.85,2.0,0.0
20180117:1410,811.52,24.08,12.35,2.0,0.0
20180117:1510,621.43,17.72,12.48,1.86,0.0
20180117:1610,367.71,9.45,12.18,1.66,0.0
20180117:1710,0.0,0.0,10.92,1.79,0.0
20180117:1810,0.0,0.0,8.75,2.07,0.0
20180117:1910,0.0,0.0,7.34,1.93,0.0
20180117:2010,0.0,0.0,5.71,1.86,0.0
20180117:2110,0.0,0.0,4.49,1.86,0.0
20180117:2210,0.0,0.0,3.66,1.79,0.0
20180117:2310,0.0,0.0,3.01,1.66,0.0
20180118:0010,0.0,0.0,2.47,1.52,0.0
20180118:0110,0.0,0.0,1.97,1.45,0.0
20180118:0210,0.0,0.0,1.47,1.45,0.0
20180118:0310,0.0,0.0,0.95,1.52,0.0
20180118:0410,0.0,0.0,0.52,1.59,0.0
20180118:0510,0.0,0.0,0.09,1.66,0.0
20180118:0610,0.0,0.0,-0.19,1.72,0.0
20180118:0710,0.0,0.0,-0.25,1.72,0.0
20180118:0810,175.44,5.09,-0.15,1.45,0.0
20180118:0910,490.32,14.08,2.27,1.03,0.0
20180118:1010,733.37,21.46,6.28,1.03,0.0
20180118:1110,861.41,26.61,9.05,0.9,0.0
20180118:1210,915.17,28.94,10.93,0.76,0.0
20180118:1310,921.7,28.13,12.11,0.55,0.0
20180118:1410,809.26,24.3,12.82,0.28,0.0
20180118:1510,621.02,17.93,13.22,0.0,0.0
20180118:1610,361.81,9.65,13.14,0.28,0.0
20180118:1710,0.0,0.0,11.84,1.03,0.0
20180118:1810,0.0,0.0,10.19,0.97,0.0
20180118:1910,0.0,0.0,9.35,0.97,0.0
20180118:2010,0.0,0.0,8.88,0.48,0.0
20180118:2110,0.0,0.0,8.0,0.76,0.0
20180118:2210,0.0,0.0,4.15,1.93,0.0
20180118:2310,0.0,0.0,2.8,2.07,0.0
20180119:0010,0.0,0.0,2.87,2.28,0.0
20180119:0110,0.0,0.0,2.3,2.0,0.0
20180119:0210,0.0,0.0,2.08,1.52,0.0
20180119:0310,0.0,0.0,1.46,1.59,0.0
20180119:0410,0.0,0.0,0.93,1.93,0.0
20180119:0510,0.0,0.0,0.82,2.07,0.0
20180119:0610,0.0,0.0,0.68,2.0,0.0
20180119:0710,0.0,0.0,0.13,1.72,0.0
20180119:0810,241.06,5.19,0.06,1.66,0.0
20180119:0910,490.55,14.2,2.23,1.17,0.0
20180119:1010,727.17,21.61,6.68,1.24,0.0
20180119:1110,869.25,26.79,9.52,1.24,0.0
20180119:1210,932.85,29.15,11.44,1.17,0.0
20180119:1310,944.49,28.35,12.73,1.38,0.0
20180119:1410,830.84,24.51,13.35,1.52,0.0
20180119:1510,638.93,18.14,13.43,1.45,0.0
20180119:1610,373.42,9.86,13.05,1.86,0.0
20180119:1710,0.0,0.0,11.56,2.0,0.0
20180119:1810,0.0,0.0,9.69,1.93,0.0
20180119:1910,0.0,0.0,8.28,1.72,0.0
